LOTTERY|11630|95109.00|12585.00
TOBACCO|2271|48471.83|2721.00
Beer|3370|39220.87|5511.00
GROCERY NO TAX|1114|12127.81|1300.00
DRINKS|2825|12084.05|3979.00
ALCOHOL|228|3851.86|426.00
ALL|527|3084.76|689.00
GENERAL ITEMS|230|2676.62|280.00
R.T.D.|405|2527.15|607.00
Cashback|27|2406.00|27.00
CANDY,GUMS & CHOCOLATES|815|2280.45|980.00
TOBACCO Accessories|30|1622.01|34.00
Wine|82|1320.70|87.00
HEALTH & BEAUTY|272|1156.55|354.00
GROCERY|160|1056.87|180.00
ICE CREAMS|239|1030.06|359.00
DAIRY PRODUCTS|169|902.25|198.00
WATER|387|839.50|469.00
OTHER|96|723.17|154.00
CHIPS & SNACKS|134|692.18|137.00
VAPE & CIGAR|153|661.59|193.00
Electronics - My top gift|26|578.30|26.00
CHIPS|171|470.93|187.00
GENERAL NO TAX|521|467.76|788.00
LIGHTER|108|361.47|119.00
DELI|68|308.66|106.00
ICE|40|248.04|55.00
DRINK/SLUSHY|48|205.47|56.00
DRINKS NO TAX|60|204.00|66.00
Alcoholic Cocktails|28|157.64|39.00
DAIRY PRODUCTS TAXABLE|46|135.04|56.00
FOOD ITMES|43|124.27|49.00
Ice cream|25|98.10|34.00
PET FOOD|23|83.56|42.00
SNACK|22|71.13|24.00
COOKIES|17|59.25|18.00
HOUSE HOLD ITEM|12|56.05|13.00
GENERAL ITMES|5|45.15|5.00
ELECTRONICS|3|44.04|3.00
PARTY STUFF|5|33.85|5.00
JTI VAPE & CIGARATE|1|33.49|2.00
ENERGY DRINK|4|27.06|6.00
BONG AND PIPES|2|24.84|2.00
BAKERY|3|11.82|3.00
STATIONARY|1|9.02|2.00
SNACKS|2|7.92|2.00
HARDWARE|1|3.94|1.00
SEASONAL|1|3.38|1.00
JUICE|1|1.01|1.00
