sku,barcode,product_name,brand,category,subcategory,pack_size,unit,supplier,min_sell_price,notes,source_file,sell_unit,lcbo_case_price,units_per_case,packs_per_case,cost_input,deposit_per_unit,target_margin_pct
17853,,Corona Extra 473Ml +,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,73.68,24.0,24.0,3.07,0.1,0.2108
288837,,Muskoka Mad Tom Ipa 473Ml,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,72.48,24.0,24.0,3.02,0.1,0.2237
16907,,Rickard'S Red,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,66.96,24.0,24.0,2.79,0.1,0.283
17819,,Stella Artois 6-Pk Tc,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,66.56,24.0,4.0,2.773333333,0.1,0.1829
17819,,Stella Artois 6-Pk Tc,,beer,Beer,,6-Pack,,,,master_beer_sheet.xlsx,6-Pack,66.56,24.0,4.0,16.64,0.6,0.18
17817,,Corona Extra 6Pk Tc+,,beer,Beer,,6-Pack,,,,master_beer_sheet.xlsx,6-Pack,65.76,24.0,4.0,16.44,0.6,0.249
492009,,Steam Whistle Can-473,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,65.04,24.0,24.0,2.71,0.1,0.285
302810,,Heineken 6 Pk Tc+,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,63.64,24.0,4.0,2.651666667,0.1,0.218
302810,,Heineken 6 Pk Tc+,,beer,Beer,,6-Pack,,,,master_beer_sheet.xlsx,6-Pack,63.64,24.0,4.0,15.91,0.6,0.212
691683,,Labatt Maximum Ice,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,58.8,24.0,24.0,2.45,0.1,0.153
311779,,Bud Light 6X473,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,55.0,24.0,4.0,2.291666667,0.1,0.2076
311779,,Bud Light 6X473,,beer,Beer,,6-Pack,,,,master_beer_sheet.xlsx,6-Pack,55.0,24.0,4.0,13.75,0.6,0.2
422345,,Moosehead Lager 6-Pk-Tc,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,53.84,24.0,4.0,2.243333333,0.1,0.2249
422345,,Moosehead Lager 6-Pk-Tc,,beer,Beer,,6-Pack,,,,master_beer_sheet.xlsx,6-Pack,53.84,24.0,4.0,13.46,0.6,0.2215
300699,,Molson Canadian 6 Pk-Tc,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,53.08,24.0,4.0,2.211666667,0.1,0.2353
300699,,Molson Canadian 6 Pk-Tc,,beer,Beer,,6-Pack,,,,master_beer_sheet.xlsx,6-Pack,53.08,24.0,4.0,13.27,0.6,0.228
311787,,Budweiser 6X473,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,51.48,24.0,4.0,2.145,0.1,0.2577854671
311787,,Budweiser 6X473,,beer,Beer,,6-Pack,,,,master_beer_sheet.xlsx,6-Pack,51.48,24.0,4.0,12.87,0.6,0.238
177717,,Carling Ice,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,50.16,24.0,24.0,2.09,0.1,0.2768
382291,,Laker Red,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,46.8,24.0,24.0,1.95,0.1,0.1841
488411,,Carling lager 6-Pk-Can+,,beer,Beer,,Single,,,,master_beer_sheet.xlsx,Single,45.16,24.0,4.0,1.881666667,0.1,0.2134
488411,,Carling lager 6-Pk-Can+,,beer,Beer,,6-Pack,,,,master_beer_sheet.xlsx,6-Pack,45.16,24.0,4.0,11.29,0.6,0.21
