sku,barcode,product_name,brand,category,subcategory,pack_size,unit,supplier,min_sell_price,notes,source_file,cost_per_carton,packs_per_carton,target_margin_pct,review_sold
,,John Player Bold KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,150.73,10.0,0.1,REVIEW
,,John Player Bold KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,150.73,8.0,0.1,REVIEW
,,John Player Bold RG 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,150.73,10.0,0.1,REVIEW
,,John Player Bold RG 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,150.73,8.0,0.1,REVIEW
,,John Player Smooth KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,150.73,10.0,0.1,REVIEW
,,John Player Smooth KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,150.73,8.0,0.1,REVIEW
,,John Player Smooth RG 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,150.73,10.0,0.1,REVIEW
,,John Player Smooth RG 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,150.73,8.0,0.1,REVIEW
,,Marlboro KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,149.54,10.0,0.1,REVIEW
,,Marlboro KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,149.54,8.0,0.1,REVIEW
,,Marlboro Smooth KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,149.54,10.0,0.1,REVIEW
,,Marlboro Smooth KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,149.54,8.0,0.1,REVIEW
,,Match K20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,84.72,10.0,0.1,
,,Match K25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,84.72,8.0,0.1,
,,Matinee Chic K20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,84.72,10.0,0.1,
,,Matinee Chic K25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,84.72,8.0,0.1,
,,Pall Mall Bold Extra KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,10.0,0.1,REVIEW
,,Pall Mall Bold Extra KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,8.0,0.1,REVIEW
,,Pall Mall Bold KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,10.0,0.1,REVIEW
,,Pall Mall Bold KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,8.0,0.1,REVIEW
,,Pall Mall Bold RG 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,10.0,0.1,REVIEW
,,Pall Mall Bold RG 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,8.0,0.1,REVIEW
,,Pall Mall Full KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,10.0,0.1,REVIEW
,,Pall Mall Full KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,8.0,0.1,REVIEW
,,Pall Mall Full RG 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,10.0,0.1,REVIEW
,,Pall Mall Full RG 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,8.0,0.1,REVIEW
,,Pall Mall Smooth Extra KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,10.0,0.1,REVIEW
,,Pall Mall Smooth Extra KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,8.0,0.1,REVIEW
,,Pall Mall Smooth KS 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,10.0,0.1,REVIEW
,,Pall Mall Smooth KS 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,8.0,0.1,REVIEW
,,Pall Mall Smooth RG 10x20,,cigarettes,,20s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,10.0,0.1,REVIEW
,,Pall Mall Smooth RG 8x25,,cigarettes,,25s,pack,ITC,,,master_cigarette_sheet.xlsx,117.72,8.0,0.1,REVIEW
