sku,barcode,product_name,brand,category,subcategory,pack_size,unit,supplier,min_sell_price,notes,source_file,cost_price,sell_price,sell_price_credit
,00005880750090,Orville Buttery Microwave Popcorn (492 g × 6 ct),,grocery,Popcorn,,,,,,Scarbro Mart Inventory,,1.69,
,000080052760,Kinder Bueno Chocolate Bar (43 g),,grocery,Chocolate,,,,,,Scarbro Mart Inventory,,2.99,
,000090424014,Red Bull Sugar Free Energy Drink (250 ml),,grocery,Energy,,,,,,Scarbro Mart Inventory,,3.55,
,00041333224015,Duracell AAA Batteries (2 ct),,other,Batteries,,,,,,Scarbro Mart Inventory,,3.99,
,0005000057412,Friskies Flaked Ocean Whitefish Dinner Wet Cat Food (156 g),,other,Cat Food,,,,,,Scarbro Mart Inventory,,1.49,
,00056327006010,Molson Dry Dry Canadian Lager (710 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.49,
,00063657013151,Jackson-Triggs Pinot Wine (750 ml),,grocery,Wine,,,,,,Scarbro Mart Inventory,,13.1,
,0017082879042,Jack Link's Original Pepperoni (22 g),,grocery,Jerky,,,,,,Scarbro Mart Inventory,,1.33,
,0022600642374,Magnum Original Condoms (3 ct),,other,Intimacy,,,,,,Scarbro Mart Inventory,,3.99,
,003440443505,Reese's Peanut Butter Cups Candy (46 g × 3 ct),,grocery,Chocolate,,,,,,Scarbro Mart Inventory,,1.99,
,0056600000612,Hershey Creamy Milk Chocolate,,grocery,Chocolate,,,,,,Scarbro Mart Inventory,,2.21,
,00689823007412,Pringles Sour Cream & Onion Potato Chips (156 g),,grocery,Chips,,,,,,Scarbro Mart Inventory,,4.99,
,009800123018,Ferrero Rocher Chocolate Candies (3 ct),,grocery,Chocolate,,,,,,Scarbro Mart Inventory,,2.74,
,012000002304,Pepsi 710 ml,,grocery,Soda,,,,,,Scarbro Mart Inventory,,2.99,
,012000002311,Pepsi Diet Soda,,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.33,
,012000018794,Pepsi (355 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.33,
,01289903,Mug Root Beer (355 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.33,
,016800088001,Royal Oak Star Grill Charcoal (4 kg),,other,Camping,,,,,,Scarbro Mart Inventory,,1.33,
,017082890122,Jack Link's Hot Pepperoni (22 g),,grocery,Jerky,,,,,,Scarbro Mart Inventory,,1.33,
,018200000188,Budweiser American Lager Cans (473 ml x 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,17.49,
,018200004261,Busch Bullet Strong Beer (222 ml × 4 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,5.29,
,018200004735,Budweiser American Lager (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.99,
,022000105080,5 Spearmint Gum (Rain),,grocery,Gum & Mints,,,,,,Scarbro Mart Inventory,,2.99,
,022100002890,Pabst Blue Ribbon Lager (6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,022600020158,Magnum XL Condoms (3 ct),,other,Intimacy,,,,,,Scarbro Mart Inventory,,3.99,
,025000053818,Lemonade Drink (2 L),,grocery,Juice,,,,,,Scarbro Mart Inventory,,3.99,
,028400009973,Miss Vickie's Original Recipe Kettle Chips,,grocery,Chips,,,,,,Scarbro Mart Inventory,,5.49,
,028400012553,Miss Vickie's Jalapeño Kettle Chips,,grocery,Chips,,,,,,Scarbro Mart Inventory,,5.49,
,028400033329,Ruffles Onion Dip (9 oz),,grocery,Salsa & Dips,,,,,,Scarbro Mart Inventory,,5.39,
